,bedroom,parking_lot,bathroom,toilets,town,state,serviced,extras,Stable Electricity,title,price
199,4.0,1,4.0,5,Lekki,Lagos,0,8.0,1,Massionette,20000000.0
200,4.0,0,4.0,5,Lekki,Lagos,0,0.0,0,Detached Duplex,10000000.0
201,4.0,0,4.0,5,Lekki,Lagos,0,0.0,0,Terraced Duplex,6500000.0
203,4.0,0,4.0,5,Ikoyi,Lagos,0,0.0,0,Terraced Duplex,30000000.0
204,4.0,0,4.0,5,Lekki,Lagos,0,0.0,0,Semi Detached Duplex,15000000.0
205,4.0,0,4.0,5,Lekki,Lagos,0,12.0,0,Semi Detached Duplex,20000000.0
206,5.0,1,5.0,6,Ikoyi,Lagos,0,8.0,1,Detached Duplex,250000000.0
207,3.0,0,3.0,4,Lekki,Lagos,0,0.0,0,Blocks Of Flats,12000000.0
208,4.0,1,4.0,5,Ikoyi,Lagos,0,8.0,0,Detached Duplex,150000000.0
209,3.0,0,3.0,4,Lekki,Lagos,1,11.0,0,Blocks Of Flats,13000000.0
210,4.0,0,4.0,5,Lekki,Lagos,0,11.0,0,Semi Detached Duplex,10000000.0
211,4.0,0,4.0,5,Lekki,Lagos,1,0.0,0,Terraced Duplex,18000000.0
212,4.0,1,4.0,5,Lekki,Lagos,0,8.0,0,Detached Bungalow,12000000.0
213,1.0,0,1.0,2,Ikoyi,Lagos,1,0.0,0,mini flat Blocks Of Flats,12000000.0
214,4.0,1,4.0,5,Lekki,Lagos,0,8.0,1,Massionette,20000000.0
215,4.0,0,4.0,5,Lekki,Lagos,1,0.0,0,Terraced Duplex,15000000.0
216,5.0,0,5.0,6,Ikoyi,Lagos,0,0.0,0,Terraced Duplex,35000000.0
217,4.0,0,4.0,5,Lekki,Lagos,0,0.0,0,Semi Detached Duplex,7000000.0
219,3.0,1,3.0,4,Ikoyi,Lagos,0,8.0,1,Massionette,50000000.0
220,4.0,1,4.0,5,Lekki,Lagos,0,8.0,0,Massionette,30000000.0
221,5.0,0,5.0,6,Lekki,Lagos,0,11.0,0,Detached Duplex,11000000.0
222,3.0,1,3.0,4,Lekki,Lagos,0,8.0,1,Blocks Of Flats,3500000.0
223,4.0,0,4.0,5,Ikoyi,Lagos,1,0.0,0,Terraced Duplex,60000000.0
224,4.0,0,4.0,5,Lekki,Lagos,0,12.0,0,Terraced Duplex,10000000.0
225,4.0,0,4.0,5,Lekki,Lagos,0,0.0,0,Terraced Duplex,20000000.0
226,2.0,0,2.0,3,Lekki,Lagos,0,0.0,0,Blocks Of Flats,9000000.0
228,4.0,0,4.0,5,Lekki,Lagos,1,0.0,0,Terraced Duplex,15000000.0
229,5.0,0,5.0,6,Ikoyi,Lagos,0,0.0,0,Terraced Duplex,35000000.0
230,4.0,0,4.0,5,Lekki,Lagos,0,0.0,0,Semi Detached Duplex,7000000.0
232,3.0,1,3.0,4,Ikoyi,Lagos,0,8.0,1,Massionette,50000000.0
233,2.0,0,2.0,3,Lekki,Lagos,0,0.0,0,Terraced Duplex,12000000.0
235,3.0,0,3.0,4,Lekki,Lagos,1,0.0,0,Terraced Duplex,5000000.0
237,4.0,1,4.0,5,Lekki,Lagos,0,8.0,1,Semi Detached Duplex,20000000.0
238,4.0,1,4.0,5,Lekki,Lagos,0,8.0,0,Detached Duplex,11000000.0
239,4.0,1,4.0,5,Lekki,Lagos,0,8.0,1,Terraced Duplex,8000000.0
240,4.0,1,4.0,5,Lekki,Lagos,0,8.0,0,Semi Detached Duplex,5000000.0
241,2.0,0,2.0,3,Lekki,Lagos,0,0.0,0,Blocks Of Flats,15000000.0
242,4.0,0,4.0,5,Lekki,Lagos,0,11.0,0,Terraced Duplex,9000000.0
243,5.0,0,5.0,6,Lekki,Lagos,0,11.0,0,Detached Duplex,25000000.0
244,4.0,1,4.0,5,Lekki,Lagos,0,8.0,1,Semi Detached Duplex,20000000.0
246,2.0,0,2.0,3,Lekki,Lagos,0,0.0,0,Terraced Duplex,12000000.0
247,4.0,1,4.0,5,Lekki,Lagos,0,15.0,0,Detached Duplex,11000000.0
248,3.0,0,3.0,4,Lekki,Lagos,1,0.0,0,Terraced Duplex,5000000.0
250,4.0,1,4.0,5,Lekki,Lagos,0,8.0,1,Terraced Duplex,8000000.0
251,5.0,0,5.0,6,Lekki,Lagos,0,11.0,0,Semi Detached Duplex,25000000.0
252,4.0,1,4.0,5,Lekki,Lagos,0,8.0,0,Semi Detached Duplex,10000000.0
254,2.0,0,2.0,3,Lekki,Lagos,1,0.0,0,Blocks Of Flats,6500000.0
255,5.0,0,5.0,6,Lekki,Lagos,0,0.0,0,Detached Duplex,15000000.0
256,2.0,0,2.0,3,Ikoyi,Lagos,0,0.0,0,Blocks Of Flats,20000000.0
257,4.0,0,4.0,5,Lekki,Lagos,0,0.0,0,Semi Detached Duplex,10000000.0
258,4.0,0,4.0,5,Victoria Island,Lagos,0,0.0,0,Semi Detached Duplex,15000000.0
259,4.0,1,4.0,5,Lekki,Lagos,1,8.0,0,Terraced Duplex,7000000.0
260,3.0,1,3.0,4,Victoria Island,Lagos,0,15.0,1,Blocks Of Flats,15000000.0
261,4.0,1,4.0,5,Ajah,Lagos,0,8.0,0,Detached Duplex,25000000.0
262,5.0,1,5.0,6,Ikoyi,Lagos,0,8.0,0,Semi Detached Duplex,50000000.0
263,4.0,0,4.0,5,Lekki,Lagos,0,11.0,0,Detached Duplex,15000000.0
264,4.0,0,4.0,5,Lekki,Lagos,1,15.0,0,Terraced Duplex,5000000.0
265,4.0,0,4.0,5,Lekki,Lagos,0,11.0,0,Semi Detached Duplex,20000000.0
266,4.0,1,4.0,5,Lekki,Lagos,0,8.0,1,Terraced Duplex,15000000.0
267,5.0,0,5.0,6,Lekki,Lagos,0,11.0,0,Detached Duplex,15000000.0
268,4.0,0,4.0,5,Lekki,Lagos,0,15.0,0,Terraced Duplex,30000000.0
269,4.0,0,4.0,5,Lekki,Lagos,0,11.0,0,Detached Duplex,12000000.0
270,4.0,0,4.0,5,Lekki,Lagos,1,0.0,0,Terraced Duplex,6000000.0
271,2.0,0,2.0,3,Lekki,Lagos,1,0.0,0,Blocks Of Flats,8000000.0
273,5.0,0,5.0,6,Lekki,Lagos,0,11.0,0,Semi Detached Duplex,25000000.0
274,4.0,1,4.0,5,Lekki,Lagos,0,15.0,0,Semi Detached Duplex,10000000.0
275,2.0,0,2.0,3,Lekki,Lagos,1,0.0,0,Blocks Of Flats,6500000.0
276,5.0,0,5.0,6,Lekki,Lagos,0,0.0,0,Detached Duplex,15000000.0
277,2.0,0,2.0,3,Ikoyi,Lagos,0,0.0,0,Blocks Of Flats,20000000.0
278,4.0,0,4.0,5,Lekki,Lagos,0,0.0,0,Semi Detached Duplex,10000000.0
279,4.0,0,4.0,5,Victoria Island,Lagos,0,0.0,0,Semi Detached Duplex,15000000.0
280,4.0,0,4.0,5,Victoria Island,Lagos,0,0.0,0,Semi Detached Duplex,15000000.0
282,4.0,1,4.0,5,Ikoyi,Lagos,0,8.0,1,Flat Apartment,45000000.0
283,5.0,0,5.0,6,Ikoyi,Lagos,0,0.0,0,Detached Duplex,80000000.0
284,4.0,0,4.0,5,Ikoyi,Lagos,0,0.0,0,Flat Apartment,42000000.0
286,3.0,0,3.0,4,Ikoyi,Lagos,0,0.0,0,Terraced Duplex,40000000.0
287,3.0,1,3.0,4,Ikoyi,Lagos,0,8.0,1,Flat Apartment,30000000.0
288,4.0,0,4.0,5,Ikoyi,Lagos,0,0.0,0,Penthouse Flat Apartment,60000000.0
289,4.0,1,4.0,5,Ikoyi,Lagos,0,8.0,1,Flat Apartment,45000000.0
290,4.0,0,4.0,5,Ikoyi,Lagos,0,0.0,0,Flat Apartment,42000000.0
292,5.0,0,5.0,6,Ikoyi,Lagos,1,0.0,0,Detached Duplex,35000000.0
294,4.0,0,4.0,5,Ikoyi,Lagos,0,0.0,0,Terraced Duplex,60000000.0
296,4.0,0,3.0,4,Victoria Island,Lagos,0,0.0,0,Terraced Duplex,15000000.0
298,4.0,0,4.0,5,Ikoyi,Lagos,0,0.0,0,Flat Apartment,35000000.0
300,3.0,0,3.0,4,Ikoyi,Lagos,0,0.0,0,Terraced Duplex,40000000.0
301,4.0,0,4.0,5,Ikoyi,Lagos,0,0.0,0,Detached Duplex,30000000.0
302,4.0,0,4.0,4,Victoria Island,Lagos,0,0.0,0,Terraced Duplex,20000000.0
304,4.0,0,4.0,5,Ikoyi,Lagos,0,0.0,0,Flat Apartment,42000000.0
305,4.0,0,3.0,4,Victoria Island,Lagos,0,0.0,0,Terraced Duplex,20000000.0
306,5.0,0,4.0,5,Ikoyi,Lagos,0,15.0,1,Detached Duplex,50000000.0
309,4.0,1,4.0,5,Ikoyi,Lagos,0,8.0,1,Flat Apartment,45000000.0
312,3.0,1,3.0,4,Ikoyi,Lagos,0,8.0,1,Flat Apartment,35000000.0
314,5.0,1,5.0,6,Lekki,Lagos,0,8.0,1,Detached Duplex,55000000.0
315,3.0,0,4.0,4,Lekki,Lagos,0,0.0,0,Flat Apartment,10000000.0
316,5.0,0,5.0,6,Lekki,Lagos,0,0.0,0,Detached Duplex,6000000.0
317,4.0,0,4.0,5,Lekki,Lagos,0,0.0,0,Detached Duplex,12000000.0
318,4.0,0,4.0,5,Ajah,Lagos,0,0.0,0,Terraced Duplex,7000000.0
328,2.0,0,1.0,2,Ibeju-Lekki,Lagos,0,0.0,0,Flat Apartment,3000000.0
331,2.0,0,1.0,2,Ikoyi,Lagos,0,0.0,0,Flat Apartment,25000000.0
332,2.0,0,1.0,2,Ojodu,Lagos,0,0.0,0,Flat Apartment,3000000.0
333,4.0,0,4.0,5,Lekki,Lagos,0,0.0,0,Semi Detached Duplex,7500000.0
334,2.0,0,2.0,3,Ajah,Lagos,0,0.0,0,Flat Apartment,2200000.0
336,2.0,0,3.0,3,Lekki,Lagos,0,0.0,0,Blocks Of Flats,8000000.0
337,2.0,0,2.0,2,Lekki,Lagos,0,0.0,0,Blocks Of Flats,15000000.0
338,4.0,0,4.0,4,Lekki,Lagos,0,0.0,0,Semi Detached Duplex,8000000.0
339,4.0,0,4.0,4,Lekki,Lagos,0,0.0,0,Terraced Duplex,12000000.0
340,4.0,0,4.0,4,Lekki,Lagos,0,0.0,0,Terraced Duplex,15000000.0
341,4.0,0,4.0,4,Ajah,Lagos,0,0.0,0,Terraced Duplex,5000000.0
342,4.0,0,4.0,4,Ikoyi,Lagos,0,0.0,0,Detached Duplex,150000000.0
343,3.0,0,3.0,3,Ikoyi,Lagos,0,0.0,0,Blocks Of Flats,45000000.0
344,4.0,0,5.0,5,Ikoyi,Lagos,0,0.0,0,Terraced Duplex,60000000.0
345,4.0,0,4.0,4,Lekki,Lagos,0,0.0,0,Massionette,50000000.0
346,4.0,0,4.0,4,Ajah,Lagos,0,0.0,0,Terraced Duplex,5000000.0
347,3.0,0,3.0,3,Ikoyi,Lagos,0,0.0,0,Blocks Of Flats,20000000.0
348,4.0,0,4.0,4,Ajah,Lagos,0,0.0,0,Semi Detached Duplex,6000000.0
349,4.0,0,4.0,4,Lekki,Lagos,0,0.0,0,Semi Detached Duplex,8500000.0
350,2.0,0,3.0,3,Lekki,Lagos,0,0.0,0,Blocks Of Flats,8000000.0
351,2.0,0,2.0,2,Lekki,Lagos,0,0.0,0,Blocks Of Flats,15000000.0
352,4.0,0,4.0,4,Lekki,Lagos,0,0.0,0,Semi Detached Duplex,8000000.0
353,4.0,0,4.0,4,Lekki,Lagos,0,0.0,0,Terraced Duplex,12000000.0
354,4.0,0,4.0,4,Ajah,Lagos,0,0.0,0,Detached Duplex,11000000.0
355,3.0,0,3.0,3,Lekki,Lagos,0,0.0,0,Blocks Of Flats,8500000.0
356,4.0,0,4.0,4,Lekki,Lagos,0,0.0,0,Terraced Duplex,6000000.0
357,4.0,0,4.0,4,Lekki,Lagos,0,0.0,0,Massionette,25000000.0
358,4.0,0,4.0,4,Lekki,Lagos,0,0.0,0,Terraced Duplex,6500000.0
359,4.0,0,4.0,4,Lekki,Lagos,0,0.0,0,Semi Detached Duplex,8000000.0
360,3.0,0,3.0,3,Lekki,Lagos,0,0.0,0,Terraced Duplex,4500000.0
361,4.0,0,4.0,4,Ajah,Lagos,0,0.0,0,Detached Duplex,11000000.0
362,3.0,0,3.0,3,Lekki,Lagos,0,0.0,0,Blocks Of Flats,8500000.0
363,4.0,0,4.0,4,Lekki,Lagos,0,0.0,0,Terraced Duplex,6000000.0
364,4.0,0,4.0,4,Lekki,Lagos,0,0.0,0,Massionette,25000000.0
365,4.0,0,4.0,4,Lekki,Lagos,0,0.0,0,Terraced Duplex,6500000.0
366,4.0,0,4.0,4,Lekki,Lagos,0,0.0,0,Semi Detached Duplex,8000000.0
367,4.0,0,4.0,4,Lekki,Lagos,0,0.0,0,Semi Detached Duplex,8000000.0
368,3.0,0,4.0,4,Lekki,Lagos,0,0.0,0,Blocks Of Flats,10000000.0
369,5.0,0,6.0,6,Lekki,Lagos,0,0.0,0,Detached Duplex,15000000.0
370,4.0,0,4.0,4,Lekki,Lagos,0,0.0,0,Terraced Duplex,5000000.0
371,2.0,0,2.0,2,Lekki,Lagos,0,0.0,0,Blocks Of Flats,13500000.0
372,2.0,0,2.0,2,Lekki,Lagos,0,0.0,0,Blocks Of Flats,15000000.0
373,2.0,0,2.0,2,Lekki,Lagos,0,0.0,0,Blocks Of Flats,6500000.0
374,2.0,0,2.0,2,Lekki,Lagos,0,0.0,0,Blocks Of Flats,12000000.0
