bedroom,parking_lot,bathroom,toilets,town,state,serviced,extras,Stable Electricity,title,price
4,No,4,5,Lekki,Lagos,No,,No,Detached Duplex," ₦15,000,000/year"
1,Yes,1,2,Ikoyi,Lagos,No,8,No,mini flat Self Contain Flat Apartment," ₦12,000,000/year"
4,No,4,5,Ikoyi,Lagos,Yes,12,Yes,Blocks Of Flats," ₦90,000,000/year"
2,No,2,3,Lekki,Lagos,No,8,No,Flat Apartment," ₦12,000,000/year"
3,No,3,4,Lekki,Lagos,No,,No,Flat Apartment," ₦9,500,000/year"
2,Yes,2,3,Ikoyi,Lagos,No,8,No,Flat Apartment," ₦18,000,000/year"
2,No,2,3,Lekki,Lagos,No,,No,Flat Apartment," ₦8,000,000/year"
2,No,2,3,Ikoyi,Lagos,No,,No,Self Contain Flat Apartment," ₦13,000,000/year"
4,No,4,5,Ikoyi,Lagos,Yes,15,Yes,Terraced Duplex," ₦60,000,000/year"
3,No,3,4,Ikoyi,Lagos,No,,No,Flat Apartment," ₦50,000,000/year"
3,No,3,4,Ikoyi,Lagos,No,,No,Flat Apartment," ₦50,000,000/year"
3,No,3,4,Lekki,Lagos,No,,No,Blocks Of Flats," ₦11,000,000"
1,No,1,1,Gbagada,Lagos,No,,No,mini flat Self Contain Flat Apartment," ₦2,000,000"
4,No,4,5,Lekki,Lagos,No,,No,Terraced Duplex," ₦8,500,000/year"
4,Yes,4,5,Lekki,Lagos,No,8,No,Terraced Duplex," ₦6,500,000/year"
2,Yes,2,3,Lekki,Lagos,No,15,No,Semi Detached Duplex," ₦5,000,000/year"
,Yes,1,1,Lekki,Lagos,No,8,No,," ₦2,200,000/year"
,No,,,Lekki,Lagos,No,,No,mini flat Mini Flat Flat Apartment," ₦2,800,000/year"
1,Yes,1,2,Lekki,Lagos,No,15,No,mini flat Mini Flat Flat Apartment," ₦5,500,000/year"
1,No,1,1,Ikorodu,Lagos,No,,No,mini flat Mini Flat Flat Apartment," ₦250,000/year"
1,Yes,1,1,Lekki,Lagos,No,15,No,mini flat Mini Flat Flat Apartment," ₦1,600,000/year"
5,No,5,6,Lekki,Lagos,No,,No,Detached Duplex," ₦10,000,000/year"
3,Yes,3,4,Lekki,Lagos,Yes,8,No,Massionette," ₦12,000,000/year"
,Yes,,,Ikeja,Lagos,No,15,Yes,," ₦90,000,000/year"
2,No,2,3,Victoria Island,Lagos,No,,No,Flat Apartment," ₦7,000,000/year"
,No,,,Ibadan,Oyo,No,,No,," ₦3,000,000/year"
,No,1,1,Shomolu,Lagos,No,,No,," ₦750,000/year"
,No,1,1,Yaba,Lagos,No,,No,," ₦1,000,000/year"
2,No,2,2,Surulere,Lagos,No,,No,Flat Apartment," ₦1,500,000/year"
4,No,4,5,Lekki,Lagos,Yes,,No,Terraced Duplex," ₦22,000,000/year"
,No,,,Lekki,Lagos,No,,No,mini flat Mini Flat Flat Apartment," ₦5,500,000/year"
,No,,,Yaba,Lagos,No,,No,," ₦1,300,000/year"
4,Yes,5,5,Ikeja,Lagos,No,8,Yes,Semi Detached Duplex," ₦40,000,000/year"
,No,,,Ibadan,Oyo,No,,No,Flat Apartment," ₦5,500,000/year"
,No,,,Ikoyi,Lagos,No,,No,," ₦80,000,000/year"
4,Yes,5,5,Ikeja,Lagos,No,15,Yes,Terraced Duplex," ₦20,000,000/year"
,Yes,1,1,Lekki,Lagos,No,8,No,," ₦2,300,000/year"
2,No,2,3,Ikorodu,Lagos,No,,No,Flat Apartment," ₦800,000/year"
2,No,2,3,Ajah,Lagos,No,,No,Flat Apartment," ₦2,200,000/year"
4,Yes,4,5,Lekki,Lagos,No,8,No,Terraced Duplex," ₦5,000,000/year"
,Yes,1,1,Lekki,Lagos,No,15,No,," ₦1,250,000"
4,No,4,5,Victoria Island,Lagos,No,15,Yes,Terraced Duplex," ₦20,000,000/year"
,No,,,Ipaja,Lagos,No,,No,Flat Apartment," ₦800,000/year"
4,No,4,5,Lekki,Lagos,Yes,,No,Terraced Duplex," ₦22,000,000/year"
,Yes,1,1,Lekki,Lagos,Yes,15,No,," ₦2,500,000/year"
,Yes,1,1,Lekki,Lagos,No,8,No,," ₦2,000,000/year"
,Yes,1,1,Lekki,Lagos,No,8,Yes,," ₦2,500,000/year"
,No,1,1,Shomolu,Lagos,No,,No,," ₦700,000/year"
,No,1,1,Shomolu,Lagos,No,,No,," ₦700,000/year"
4,No,4,5,Ikoyi,Lagos,No,15,No,Terraced Duplex,w Ikoyi Lagos
,Yes,1,1,Lekki,Lagos,Yes,8,No,," ₦2,500,000/year"
,Yes,1,1,Lekki,Lagos,No,15,No,," ₦2,000,000/year"
,Yes,1,1,Lekki,Lagos,No,15,Yes,," ₦2,500,000/year"
,No,1,1,Shomolu,Lagos,No,,No,," ₦700,000/year"
,No,1,1,Shomolu,Lagos,No,,No,," ₦700,000/year"
4,No,4,5,Ikoyi,Lagos,No,15,No,Terraced Duplex,w Ikoyi Lagos
4,Yes,4,5,Lekki,Lagos,No,8,No,Detached Duplex," ₦12,000,000/year"
3,Yes,2,3,Lekki,Lagos,No,15,No,Flat Apartment," ₦3,500,000/year"
3,Yes,4,4,Maryland,Lagos,No,8,Yes,Flat Apartment," ₦20,000,000/year"
,Yes,1,1,Lekki,Lagos,Yes,15,No,," ₦2,500,000/year"
1,Yes,1,2,Lekki,Lagos,No,15,No,mini flat Mini Flat Flat Apartment," ₦2,600,000/year"
1,No,1,1,Ikorodu,Lagos,No,,No,mini flat Mini Flat Flat Apartment," ₦250,000/year"
2,No,2,3,Lekki,Lagos,No,,No,Flat Apartment," ₦8,000,000/year"
,No,1,Toilets,Shomolu,Lagos,No,,No,," ₦800,000/year"
1,Yes,1,2,Lekki,Lagos,No,15,No,mini flat Mini Flat Flat Apartment," ₦7,500,000/year"
3,No,3,4,Victoria Island,Lagos,No,8,Yes,Blocks Of Flats," ₦25,000,000/year"
4,Yes,4,5,Lekki,Lagos,Yes,8,Yes,Terraced Duplex," ₦35,000,000/year"
2,No,2,2,Durumi,Abuja,No,15,No,," ₦2,500,000/year"
1,No,2,2,Shomolu,Lagos,No,,No,mini flat Mini Flat Flat Apartment," ₦2,000,000/year"
4,Yes,5,5,Maryland,Lagos,No,8,Yes,Terraced Duplex," ₦16,000,000/year"
2,No,2,3,Ikorodu,Lagos,No,,No,Flat Apartment," ₦650,000/year"
4,No,4,5,Ajah,Lagos,No,,No,Semi Detached Duplex," ₦7,000,000/year"
3,No,3,4,Lekki,Lagos,No,,No,Terraced Duplex," ₦7,000,000/year"
,No,,1,Yaba,Lagos,No,,No,," ₦1,500,000/year"
,Yes,1,1,Lekki,Lagos,No,15,Yes,," ₦1,200,000/year"
1,Yes,1,2,Lekki,Lagos,No,8,No,mini flat Mini Flat Flat Apartment," ₦3,000,000/year"
3,Yes,3,4,Lekki,Lagos,Yes,15,No,Flat Apartment," ₦3,000,000/year"
,Yes,1,1,Lekki,Lagos,No,8,No,," ₦1,600,000/year"
2,Yes,2,3,Lekki,Lagos,No,8,No,Flat Apartment," ₦6,300,000/year"
,Yes,1,1,Lekki,Lagos,No,15,No,," ₦750,000/year"
4,No,4,5,Lekki,Lagos,No,15,No,Semi Detached Duplex," ₦7,500,000/year"
4,Yes,5,5,Maryland,Lagos,No,15,Yes,Terraced Duplex," ₦16,000,000/year"
3,Yes,3,4,Ikoyi,Lagos,No,15,Yes,Blocks Of Flats," $25,000/year"
,No,,,Lekki,Lagos,No,,No,," ₦130,000/sqm"
5,No,5,6,Lekki,Lagos,No,11,No,Detached Duplex," ₦12,000,000/year"
4,No,4,5,Lekki,Lagos,No,11,No,Massionette," ₦25,000,000"
4,No,4,5,Lekki,Lagos,No,,No,Terraced Duplex," ₦11,000,000/year"
4,No,4,5,Ajah,Lagos,No,11,No,Semi Detached Duplex," ₦7,000,000/year"
3,No,3,4,Ikoyi,Lagos,No,12,No,Blocks Of Flats," $20,000/year"
4,Yes,4,5,Lekki,Lagos,No,8,Yes,Terraced Duplex," ₦25,000,000/year"
,No,,,Lekki,Lagos,No,8,No,," ₦30,000,000/year"
2,No,2,3,Lekki,Lagos,No,,No,Terraced Duplex," ₦18,000,000/year"
,No,,,Lekki,Lagos,No,,No,," ₦180,000/sqm"
