,town,state_Abuja,state_Delta,state_Enugu,state_Kaduna,state_Lagos,state_Ogun,state_Oyo,state_Rivers,title,bedroom,parking_lot,bathroom,toilets,serviced,extras,Stable Electricity,bath_bedroom_combo
6269,79,0,0,0,0,1,0,0,0,508,1,1,1,1,0,8,0,1
6270,47,0,0,0,0,1,0,0,0,88,1,1,1,1,0,8,1,1
6271,3,0,0,0,0,1,0,0,0,178,1,0,1,1,0,15,0,1
6272,47,0,0,0,0,1,0,0,0,178,1,1,1,1,0,8,0,1
6273,47,0,0,0,0,1,0,0,0,602,5,1,5,6,0,8,1,25
6274,47,0,0,0,0,1,0,0,0,602,4,1,4,5,0,8,0,16
6275,37,1,0,0,0,0,0,0,0,845,4,0,5,5,0,12,0,20
6276,3,0,0,0,0,1,0,0,0,715,3,1,3,4,0,15,0,9
6277,47,0,0,0,0,1,0,0,0,602,4,0,4,5,0,0,0,16
6278,47,0,0,0,0,1,0,0,0,715,3,0,3,4,0,0,0,9
6279,25,0,0,0,0,0,0,1,0,602,4,0,3,3,0,0,0,12
6280,47,0,0,0,0,1,0,0,0,1714,2,1,2,2,0,8,0,4
6281,32,0,0,0,0,1,0,0,0,123,4,0,5,5,1,0,0,20
6282,74,0,0,0,0,1,0,0,0,508,2,0,1,2,0,0,0,2
6283,47,0,0,0,0,1,0,0,0,1714,4,0,4,5,1,17,0,16
6284,3,0,0,0,0,1,0,0,0,602,4,0,4,4,0,0,0,16
6285,47,0,0,0,0,1,0,0,0,602,5,0,6,6,0,0,0,30
6286,9,1,0,0,0,0,0,0,0,1714,3,0,3,4,0,0,0,9
6287,25,0,0,0,0,0,0,1,0,1714,2,0,1,2,0,0,0,2
6288,3,0,0,0,0,1,0,0,0,602,3,0,4,4,0,0,0,12
6289,47,0,0,0,0,1,0,0,0,178,1,0,1,1,0,0,0,1
6290,47,0,0,0,0,1,0,0,0,86,1,0,1,1,0,0,0,1
6291,32,0,0,0,0,1,0,0,0,1714,3,0,3,4,0,0,0,9
6292,47,0,0,0,0,1,0,0,0,602,5,0,6,6,0,0,0,30
6293,72,0,0,0,0,1,0,0,0,1714,3,0,3,4,0,0,0,9
6294,47,0,0,0,0,1,0,0,0,591,4,0,4,5,0,0,0,16
6295,44,0,0,0,0,1,0,0,0,67,3,1,4,4,0,15,1,12
6296,5,0,0,0,0,1,0,0,0,591,4,0,5,5,0,0,0,20
6297,25,0,0,0,0,0,0,1,0,602,3,0,4,4,0,0,0,12
6298,25,0,0,0,0,0,0,1,0,1714,3,0,3,4,0,0,0,9
6299,74,0,0,0,0,1,0,0,0,1714,2,0,3,3,0,0,0,6
6300,47,0,0,0,0,1,0,0,0,602,5,0,5,6,0,0,0,25
6301,47,0,0,0,0,1,0,0,0,508,1,0,1,1,0,0,0,1
6302,32,0,0,0,0,1,0,0,0,61,3,0,3,4,0,0,0,9
6303,32,0,0,0,0,1,0,0,0,1714,2,0,1,2,0,0,0,2
6304,74,0,0,0,0,1,0,0,0,715,3,0,4,4,0,0,0,12
6305,47,0,0,0,0,1,0,0,0,1714,2,1,2,3,0,8,1,4
6306,47,0,0,0,0,1,0,0,0,602,5,0,6,6,0,0,0,30
6307,47,0,0,0,0,1,0,0,0,602,5,0,5,6,0,11,0,25
6308,59,0,0,0,0,1,0,0,0,59,2,0,1,2,0,0,0,2
6309,47,0,0,0,0,1,0,0,0,591,5,0,5,6,0,8,0,25
6310,79,0,0,0,0,1,0,0,0,508,1,0,1,1,0,0,0,1
6311,59,0,0,0,0,1,0,0,0,508,1,0,1,1,0,0,0,1
6312,74,0,0,0,0,1,0,0,0,123,4,0,5,5,0,0,0,20
6313,47,0,0,0,0,1,0,0,0,1714,2,0,2,3,0,0,0,4
6314,47,0,0,0,0,1,0,0,0,1714,2,1,2,3,0,8,1,4
6315,52,1,0,0,0,0,0,0,0,715,3,0,3,4,0,0,0,9
6316,47,0,0,0,0,1,0,0,0,715,2,0,2,2,0,0,0,4
6317,47,0,0,0,0,1,0,0,0,602,5,0,5,5,0,0,0,25
6318,47,0,0,0,0,1,0,0,0,845,4,1,4,5,0,8,1,16
6319,47,0,0,0,0,1,0,0,0,845,4,0,4,5,0,0,0,16
6320,47,0,0,0,0,1,0,0,0,1714,2,0,1,2,0,0,0,2
6321,68,0,0,0,0,1,0,0,0,715,2,1,2,3,0,15,1,4
6322,3,0,0,0,0,1,0,0,0,715,3,1,3,4,0,15,0,9
6323,47,0,0,0,0,1,0,0,0,591,5,0,5,6,0,0,0,25
6324,47,0,0,0,0,1,0,0,0,715,2,1,2,3,1,15,0,4
6325,3,0,0,0,0,1,0,0,0,845,4,0,4,5,0,0,0,16
6326,47,0,0,0,0,1,0,0,0,508,1,1,1,2,0,8,1,1
6327,3,0,0,0,0,1,0,0,0,86,1,0,1,1,0,0,0,1
6328,47,0,0,0,0,1,0,0,0,602,4,0,4,5,0,15,0,16
6329,47,0,0,0,0,1,0,0,0,602,4,0,4,5,1,0,0,16
6330,32,0,0,0,0,1,0,0,0,715,3,0,3,3,0,0,0,9
6331,47,0,0,0,0,1,0,0,0,845,4,0,4,5,0,0,0,16
6332,3,0,0,0,0,1,0,0,0,1714,2,0,2,3,0,0,0,4
6333,3,0,0,0,0,1,0,0,0,1714,2,0,2,3,0,0,0,4
6334,71,0,0,0,0,1,0,0,0,508,1,0,1,2,0,0,0,1
6335,52,1,0,0,0,0,0,0,0,1714,3,1,3,4,0,8,1,9
6336,-1,0,0,0,0,0,0,1,0,591,5,0,4,4,0,0,0,20
6337,78,1,0,0,0,0,0,0,0,845,4,0,5,5,0,0,0,20
6338,40,1,0,0,0,0,0,0,0,602,4,1,4,5,0,8,0,16
6339,42,1,0,0,0,0,0,0,0,715,3,0,3,4,0,15,0,9
6340,79,0,0,0,0,1,0,0,0,178,1,0,1,1,0,15,1,1
6341,47,0,0,0,0,1,0,0,0,591,5,1,5,6,0,8,1,25
6342,22,0,0,0,0,1,0,0,0,715,3,1,3,4,0,15,0,9
6343,65,0,0,0,0,1,0,0,0,1714,2,1,2,3,0,8,1,4
6344,68,0,0,0,0,1,0,0,0,591,2,0,2,3,0,0,0,4
6345,47,0,0,0,0,1,0,0,0,591,5,1,5,6,0,8,1,25
6346,47,0,0,0,0,1,0,0,0,845,3,0,3,4,0,15,1,9
6347,47,0,0,0,0,1,0,0,0,845,4,0,5,5,0,0,0,20
6348,47,0,0,0,0,1,0,0,0,1714,4,0,5,5,0,0,0,20
6349,32,0,0,0,0,1,0,0,0,591,5,0,5,6,0,0,0,25
6350,47,0,0,0,0,1,0,0,0,508,1,0,2,2,0,0,0,2
6351,47,0,0,0,0,1,0,0,0,715,2,0,2,3,0,0,0,4
6352,3,0,0,0,0,1,0,0,0,178,1,0,1,1,0,0,0,1
6353,47,0,0,0,0,1,0,0,0,8,4,0,4,5,0,0,0,16
6354,22,0,0,0,0,1,0,0,0,1714,3,1,4,4,0,15,0,12
6355,65,0,0,0,0,1,0,0,0,1714,3,1,3,4,0,8,1,9
6356,34,0,0,0,0,1,0,0,0,1714,2,0,1,2,0,0,0,2
6357,47,0,0,0,0,1,0,0,0,86,1,0,1,1,0,0,0,1
6358,47,0,0,0,0,1,0,0,0,23,2,1,1,1,0,8,1,2
6359,47,0,0,0,0,1,0,0,0,1714,2,1,2,3,0,8,0,4
6360,47,0,0,0,0,1,0,0,0,845,4,0,4,5,0,0,0,16
6361,47,0,0,0,0,1,0,0,0,1714,2,1,2,3,0,15,0,4
6362,47,0,0,0,0,1,0,0,0,591,5,1,5,6,0,8,1,25
6363,3,0,0,0,0,1,0,0,0,845,3,0,4,4,0,0,0,12
6364,47,0,0,0,0,1,0,0,0,3,1,1,1,1,0,8,1,1
6365,37,1,0,0,0,0,0,0,0,845,4,0,5,6,0,6,0,20
6366,3,0,0,0,0,1,0,0,0,715,2,0,2,3,0,0,0,4
6367,3,0,0,0,0,1,0,0,0,1714,3,1,3,4,0,11,0,9
6368,50,1,0,0,0,0,0,0,0,715,2,0,3,3,0,0,0,6
6369,47,0,0,0,0,1,0,0,0,602,4,0,4,5,0,0,0,16
6370,74,0,0,0,0,1,0,0,0,1714,3,0,4,4,0,0,0,12
6371,47,0,0,0,0,1,0,0,0,1714,2,0,2,3,0,0,0,4
6372,79,0,0,0,0,1,0,0,0,1714,2,0,2,3,0,0,0,4
6373,37,1,0,0,0,0,0,0,0,845,4,1,5,5,0,8,0,20
6374,47,0,0,0,0,1,0,0,0,602,4,0,4,5,0,0,0,16
6375,47,0,0,0,0,1,0,0,0,591,5,0,6,6,0,0,0,30
6376,47,0,0,0,0,1,0,0,0,602,4,0,5,5,0,11,0,20
6377,7,1,0,0,0,0,0,0,0,61,2,0,3,3,0,0,0,6
6378,59,0,0,0,0,1,0,0,0,18,2,0,2,3,0,0,0,4
6379,30,0,0,0,0,1,0,0,0,1714,2,0,2,3,0,0,0,4
6380,47,0,0,0,0,1,0,0,0,1714,2,0,2,3,0,0,0,4
6381,47,0,0,0,0,1,0,0,0,41,3,0,4,4,0,0,0,12
6382,3,0,0,0,0,1,0,0,0,1714,2,0,2,3,0,0,0,4
6383,47,0,0,0,0,1,0,0,0,845,4,0,4,4,0,0,0,16
6384,47,0,0,0,0,1,0,0,0,88,1,1,1,1,0,8,0,1
6385,59,0,0,0,0,1,0,0,0,1714,2,0,1,2,0,0,0,2
6386,48,1,0,0,0,0,0,0,0,845,4,0,5,5,1,0,0,20
6387,72,0,0,0,0,1,0,0,0,1714,2,0,2,2,0,17,1,4
6388,72,0,0,0,0,1,0,0,0,1714,2,0,1,2,0,0,0,2
6389,47,0,0,0,0,1,0,0,0,845,4,0,4,4,0,0,0,16
6390,3,0,0,0,0,1,0,0,0,86,1,1,1,1,0,15,0,1
6391,3,0,0,0,0,1,0,0,0,715,2,0,3,3,0,0,0,6
6392,65,0,0,0,0,1,0,0,0,19,2,0,2,3,0,17,0,4
6393,3,0,0,0,0,1,0,0,0,1714,3,1,3,4,0,11,0,9
6394,71,0,0,0,0,1,0,0,0,178,1,0,1,1,0,0,0,1
6395,43,0,0,0,0,1,0,0,0,1714,2,0,1,2,0,0,0,2
6396,47,0,0,0,0,1,0,0,0,715,2,0,2,3,0,0,0,4
6397,47,0,0,0,0,1,0,0,0,86,1,0,1,1,0,0,0,1
6398,72,0,0,0,0,1,0,0,0,508,1,0,2,2,0,0,0,2
6399,47,0,0,0,0,1,0,0,0,88,1,1,1,1,0,8,1,1
6400,23,1,0,0,0,0,0,0,0,591,5,1,6,6,0,8,0,30
6401,47,0,0,0,0,1,0,0,0,845,4,1,4,5,0,15,1,16
6402,25,0,0,0,0,0,0,1,0,508,1,0,1,1,0,0,0,1
6403,47,0,0,0,0,1,0,0,0,591,5,1,5,6,0,11,0,25
6404,3,0,0,0,0,1,0,0,0,508,1,0,1,1,0,0,0,1
6405,3,0,0,0,0,1,0,0,0,1714,2,0,3,3,0,0,0,6
6406,47,0,0,0,0,1,0,0,0,715,3,1,3,4,0,8,1,9
6407,7,1,0,0,0,0,0,0,0,1714,2,1,2,3,1,8,0,4
6408,47,0,0,0,0,1,0,0,0,591,5,0,5,6,0,0,0,25
6409,47,0,0,0,0,1,0,0,0,602,5,1,5,6,0,8,0,25
6410,47,0,0,0,0,1,0,0,0,86,1,0,1,1,0,0,0,1
6411,61,0,0,0,0,1,0,0,0,845,4,0,4,5,0,0,0,16
6412,44,0,0,0,0,1,0,0,0,845,4,1,5,5,0,8,1,20
6413,33,0,0,0,0,1,0,0,0,1714,2,0,3,3,0,15,1,6
6414,47,0,0,0,0,1,0,0,0,591,4,0,4,5,0,0,0,16
6415,72,0,0,0,0,1,0,0,0,591,6,0,5,6,0,0,0,30
6416,32,0,0,0,0,1,0,0,0,1714,2,0,2,3,0,0,0,4
6417,47,0,0,0,0,1,0,0,0,715,4,0,4,5,1,0,0,16
6418,3,0,0,0,0,1,0,0,0,715,2,0,2,3,1,0,0,4
6419,29,0,0,0,0,1,0,0,0,19,3,1,3,4,0,8,1,9
6420,32,0,0,0,0,1,0,0,0,845,4,0,4,5,0,15,0,16
6421,3,0,0,0,0,1,0,0,0,715,2,0,3,3,0,0,0,6
6422,3,0,0,0,0,1,0,0,0,715,2,0,3,3,0,0,0,6
6423,32,0,0,0,0,1,0,0,0,1714,3,1,3,4,1,15,1,9
6424,17,0,0,1,0,0,0,0,0,1714,2,0,3,3,0,0,0,6
6425,47,0,0,0,0,1,0,0,0,59,1,1,1,2,0,15,1,1
6426,47,0,0,0,0,1,0,0,0,845,4,0,4,5,0,0,0,16
6427,77,1,0,0,0,0,0,0,0,591,5,0,5,6,0,15,1,25
6428,50,1,0,0,0,0,0,0,0,845,5,0,5,6,0,0,0,25
6429,47,0,0,0,0,1,0,0,0,845,4,1,4,5,1,8,1,16
6430,3,0,0,0,0,1,0,0,0,602,5,0,5,6,0,0,0,25
6431,59,0,0,0,0,1,0,0,0,1714,2,0,2,3,0,0,0,4
6432,32,0,0,0,0,1,0,0,0,1714,2,0,1,2,0,0,0,2
6433,74,0,0,0,0,1,0,0,0,88,1,0,1,1,0,0,0,1
